year,currency_name_symbol,local_currency_units_per_usd,mean_income_current_usd
1978,cruzeiro-Cr$,19.05,382.70946936333206
1979,cruzeiro-Cr$,28.792,348.838265715958
1981,cruzeiro-Cr$,105.284,97.24296774377645
1982,cruzeiro-Cr$,202.088,244.1331072339816
1983,cruzeiro-Cr$,701.381,62.324208586205465
1984,cruzeiro-Cr$,2203.947,56.147866566778866
1985,cruzeiro-Cr$,7461.667,63.34468599817367
1986,cruzado-Cz$,13.84,96.039309130723
1987,cruzado-Cz$,49.866,80.22774437320022
1988,cruzado-Cz$,326.235,91.58231158087649
1989,cruzado novo-NCz$,3.267,905.6099890124812
1990,cruzeiro-Cr$,75.541,1068.921527665007
1992,cruzeiro-Cr$,5771.524,136.89765253656017
1993,cruzeiro real-CR$,111.189,157.38842083971176
1995,Real R$,0.9528,263.6210930302483
1996,Real R$,1.0193,278.3742499475726
1997,Real R$,1.0936,271.455627547533
1998,Real R$,1.1809,264.5007874114454
1999,Real R$,1.8981,164.5832836946013
2001,Real R$,2.6717,135.0488616861786
2002,Real R$,3.342,118.31499765266582
2003,Real R$,2.9228,147.0104152327947
2004,Real R$,2.8911,164.49431672374754
2005,Real R$,2.2944,230.1819967676105
2006,Real R$,2.1687,271.0791264324131
2007,Real R$,1.8996,330.7174514656172
2008,Real R$,1.7996,394.096259951655
2009,Real R$,1.8198,418.112212669107
2011,Real R$,1.7498,514.6584211344898
2012,Real R$,2.0281,505.5158278233638
2013,Real R$,2.2705,488.6819467932981
2014,Real R$,2.3329,525.3501189035471
2015,Real R$,3.9065,319.9913966338494
2016,Real R$,3.2564,545.3153761609157
2017,Real R$,3.1348,600.4296973942887
2018,Real R$,4.1165,479.6604078587014
2019,Real R$,4.1215,498.0070088495061
2020,Real R$,5.3995,420.83509942223543
2021,Real R$,5.2797,417.3386605820958
2022,Real R$,5.237,481.1036870456566
2023,Real R$,4.937,553.9672847992402
2024,Real R$,5.5416,536.145516230212
2025,Real R$,5.3674,607.1456706011436
